#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
23        	4         	ok              	3.8800000000e-02	1.1308000000e+03	4.5681564538e+17	2.4852049085e+17	2.3680847234e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	4         	ok              	3.3690000000e-02	1.1232000000e+03	3.9933629796e+17	2.1725020410e+17	2.3680837830e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	4         	ok              	2.9250000000e-02	1.1163000000e+03	3.4885073886e+17	1.8978471089e+17	2.3680828570e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	4         	ok              	2.5400000000e-02	1.1101000000e+03	3.0462542790e+17	1.6572494780e+17	2.3680819671e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	4         	ok              	2.2050000000e-02	1.1030000000e+03	2.6615062996e+17	1.4479359740e+17	2.3680813063e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	4         	ok              	1.9150000000e-02	1.0966000000e+03	2.3249565232e+17	1.2648435595e+17	2.3680806637e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	4         	ok              	1.6620000000e-02	1.0900000000e+03	2.0300125446e+17	1.1043857607e+17	2.3680801235e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	4         	ok              	1.4430000000e-02	1.0825000000e+03	1.7747310795e+17	9.6550539091e+16	2.3680797342e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	4         	ok              	1.2530000000e-02	1.0761000000e+03	1.5502169845e+17	8.4336333556e+16	2.3680793112e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	4         	ok              	1.0880000000e-02	1.0696000000e+03	1.3542582394e+17	7.3675616405e+16	2.3680789526e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
