#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
101       	4         	ok              	6.3580000000e-07	8.6850000000e+02	9.7463987695e+12	5.3023327398e+12	2.3680761726e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
102       	4         	ok              	5.5200000000e-07	8.7100000000e+02	8.4375116675e+12	4.5902590938e+12	2.3680761076e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
103       	4         	ok              	4.7930000000e-07	8.7360000000e+02	7.3044622980e+12	3.9738464379e+12	2.3680760232e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
104       	4         	ok              	4.1620000000e-07	8.7700000000e+02	6.3182369424e+12	3.4373104584e+12	2.3680759022e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
105       	4         	ok              	3.6130000000e-07	8.8060000000e+02	5.4623896670e+12	2.9717040585e+12	2.3680757466e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
106       	4         	ok              	3.1370000000e-07	8.8520000000e+02	4.7180927247e+12	2.5667843955e+12	2.3680755335e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
107       	4         	ok              	2.7240000000e-07	8.9050000000e+02	4.0725506029e+12	2.2155903065e+12	2.3680752688e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
108       	4         	ok              	2.3650000000e-07	8.9660000000e+02	3.5117667622e+12	1.9105072385e+12	2.3680749617e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
109       	4         	ok              	2.0540000000e-07	9.0440000000e+02	3.0236608301e+12	1.6449631086e+12	2.3680746062e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
110       	4         	ok              	1.7830000000e-07	9.1270000000e+02	2.6008566509e+12	1.4149450350e+12	2.3680742533e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
111       	4         	ok              	1.5480000000e-07	9.2430000000e+02	2.2297236669e+12	1.2130376490e+12	2.3680737991e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
112       	4         	ok              	1.3440000000e-07	9.3600000000e+02	1.9116851291e+12	1.0400152246e+12	2.3680732623e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
113       	4         	ok              	1.1670000000e-07	9.5310000000e+02	1.6301408654e+12	8.8684692280e+11	2.3680722065e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
114       	4         	ok              	1.0130000000e-07	9.6950000000e+02	1.3910863120e+12	7.5679439843e+11	2.3680705549e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
115       	4         	ok              	8.7980000000e-08	9.9600000000e+02	1.1760240476e+12	6.3979508015e+11	2.3680658538e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
116       	4         	ok              	7.6390000000e-08	1.0199000000e+03	9.9716941839e+11	5.4249431971e+11	2.3680573995e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
117       	4         	ok              	6.6320000000e-08	1.0612000000e+03	8.3201548044e+11	4.5265107194e+11	2.3680252178e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
118       	4         	ok              	5.7590000000e-08	1.0970000000e+03	6.9889527198e+11	3.8023906021e+11	2.3679571757e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
119       	4         	ok              	5.0000000000e-08	1.1657000000e+03	5.7092947123e+11	3.1067011974e+11	2.3675624660e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
